onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	0	0.931	flirk.wav	slirk.wav
4.019999999999982	4.4	2	0	0.962	creath.wav	steath.wav
8.438999999999965	4.4	3	1	0.691	glutch.wav	nuch.wav
12.85899999999998	4.0	3	1	0.871	poat.wav	wote.wav
16.877999999999986	4.8	5	1	1.163	blackcross.wav	blackcross.wav
21.69799999999998	4.8	5	1	0.988	blackcross.wav	blackcross.wav
26.517999999999972	4.8	5	1	1.273	blackcross.wav	blackcross.wav
31.339	4.8	5	1	1.115	blackcross.wav	blackcross.wav
36.15899999999999	4.4	5	1	1.047	blackcross.wav	blackcross.wav
40.57900000000001	4.8	6	1	0.808	t.wav	u.wav
45.399	4.4	6	1	0.903	c.wav	d.wav
49.817999999999984	4.8	3	1	0.733	splirt.wav	furt.wav
54.63900000000001	4.8	5	1	1.226	blackcross.wav	blackcross.wav
59.459	4.0	2	1	0.783	crove.wav	swove.wav
63.47800000000001	4.4	6	1	0.815	v.wav	w.wav
67.89799999999997	4.8	6	1	0.841	k.wav	t.wav
72.71800000000002	4.4	3	1	1.043	brunge.wav	skonge.wav
77.13799999999998	4.4	3	1	0.776	twapse.wav	praps.wav
81.55700000000002	4.0	4	1	0.914	drose.wav	crange.wav
85.57599999999996	4.0	3	1	0.91	mense.wav	shence.wav
89.59499999999997	4.8	5	1	1.268	blackcross.wav	blackcross.wav
94.416	4.0	4	1	1.2	blease.wav	seaf.wav
98.435	4.4	1	1	0.952	twide.wav	stide.wav
102.85399999999998	4.4	5	1	1.211	blackcross.wav	blackcross.wav
107.274	4.0	1	1	1.008	pritz.wav	vitz.wav
111.293	4.8	5	1	1.108	blackcross.wav	blackcross.wav
116.113	4.0	2	1	0.948	spomb.wav	clomb.wav
120.132	4.0	5	1	1.015	blackcross.wav	blackcross.wav
124.15199999999999	4.0	6	1	1.01	a.wav	b.wav
128.171	4.4	4	1	1.092	smow.wav	vomb.wav
132.58999999999997	4.0	3	1	0.858	yeal.wav	sheel.wav
136.60899999999998	4.8	4	1	1.083	vead.wav	slood.wav
141.43	4.4	3	1	0.918	rith.wav	nyth.wav
145.849	4.8	1	1	0.934	crelm.wav	melm.wav
150.67000000000002	4.8	3	1	0.982	kreens.wav	speans.wav
155.49	4.4	4	1	0.829	palve.wav	smove.wav
159.909	4.4	1	1	0.76	sprune.wav	yune.wav
164.329	4.0	2	0	0.814	sworth.wav	horth.wav
168.348	4.0	2	0	0.928	slange.wav	prange.wav
172.36700000000002	4.4	1	1	0.838	vearn.wav	glearn.wav
176.78699999999998	4.8	2	1	0.92	zalve.wav	walve.wav
181.60699999999997	4.4	5	1	1.122	blackcross.wav	blackcross.wav
186.027	4.0	5	1	1.397	blackcross.wav	blackcross.wav
190.046	4.8	1	1	1.136	sterb.wav	cherb.wav
194.86600000000004	4.4	5	1	1.077	blackcross.wav	blackcross.wav
199.286	4.8	5	1	1.197	blackcross.wav	blackcross.wav
204.10599999999994	4.4	6	1	0.779	l.wav	d.wav
208.526	4.4	1	1	0.957	yoat.wav	zoat.wav
212.945	4.0	1	1	0.857	zite.wav	pite.wav
216.96499999999997	4.0	3	1	0.915	dite.wav	vight.wav
220.98399999999998	4.4	5	1	1.452	blackcross.wav	blackcross.wav
225.40299999999996	4.4	2	1	0.938	clease.wav	prease.wav
229.82300000000004	4.8	6	1	0.763	m.wav	n.wav
234.64299999999997	4.8	2	1	0.74	vose.wav	plose.wav
239.46300000000002	4.4	5	1	1.068	blackcross.wav	blackcross.wav
243.88299999999998	4.0	2	1	0.836	zow.wav	shrow.wav
247.902	4.8	6	1	0.884	y.wav	o.wav
252.72200000000004	4.4	2	0	0.933	slour.wav	vour.wav
257.142	4.0	4	0	0.817	splour.wav	morth.wav
261.161	4.8	2	1	0.935	frood.wav	plood.wav
265.98099999999994	4.0	2	1	0.828	twarf.wav	starf.wav
269.99999999999994	4.0	6	1	1.049	r.wav	s.wav
274.02000000000004	4.0	4	0	0.816	glough.wav	vown.wav
278.03900000000004	4.8	3	1	0.715	shrune.wav	hoon.wav
282.859	4.4	5	1	1.111	blackcross.wav	blackcross.wav
287.27899999999994	4.4	5	1	1.209	blackcross.wav	blackcross.wav
291.69800000000004	4.8	5	1	1.112	blackcross.wav	blackcross.wav
296.518	4.8	6	1	0.936	a.wav	s.wav
301.339	4.8	1	1	1.133	twirt.wav	stirt.wav
306.15900000000005	4.0	1	0	0.874	plipt.wav	bipt.wav
310.17799999999994	4.8	1	1	1.146	brith.wav	spith.wav
314.998	4.0	1	1	0.899	zurf.wav	hurf.wav
319.017	4.8	3	0	0.808	britz.wav	swits.wav
323.838	4.8	2	1	1.108	nouth.wav	scouth.wav
328.65799999999996	4.0	6	1	0.925	w.wav	e.wav
332.67699999999996	4.8	3	1	1.046	plirk.wav	swerk.wav
337.497	4.8	1	1	1.103	snerge.wav	gerge.wav
342.31699999999995	4.4	2	1	1.064	meaf.wav	teaf.wav
346.737	4.8	4	1	0.981	learth.wav	plost.wav
351.55699999999996	4.4	4	1	1.243	pread.wav	slear.wav
355.97700000000003	4.4	5	1	1.057	blackcross.wav	blackcross.wav
360.397	4.0	4	1	0.728	quarf.wav	ralve.wav
364.416	4.0	4	1	0.984	shwarp.wav	larm.wav
368.435	4.0	6	1	1.023	o.wav	p.wav
