onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.8	6	1	1.016	a.bmp	s.bmp
4.826999999999998	4.8	3	1	1.098	fall.bmp	crawl.bmp
9.652999999999999	4.4	3	1	1.087	leap.bmp	sweep.bmp
14.079	4.0	3	1	1.226	tense.bmp	fence.bmp
18.104	4.0	3	1	1.051	soup.bmp	loop.bmp
22.128999999999998	4.4	6	1	1.106	j.bmp	b.bmp
26.555	4.0	6	1	2.102	h.bmp	p.bmp
30.58	4.0	4	1	1.406	pool.bmp	tooth.bmp
34.604	4.8	4	1	2.661	both.bmp	stroke.bmp
39.431	4.0	1	1	1.591	quart.bmp	wart.bmp
43.456	4.8	5	1	1.346	blackcross.bmp	blackcross.bmp
48.283	4.4	6	1	0.988	a.bmp	b.bmp
52.708	4.4	2	0	1.361	pint.bmp	hint.bmp
57.134	4.4	3	1	1.585	wheel.bmp	deal.bmp
61.56	4.0	2	0	n/a	smooth.bmp	tooth.bmp
65.585	4.0	3	1	2.571	stool.bmp	rule.bmp
69.61	4.0	5	1	1.255	blackcross.bmp	blackcross.bmp
73.635	4.0	5	1	1.314	blackcross.bmp	blackcross.bmp
77.66	4.4	5	1	1.286	blackcross.bmp	blackcross.bmp
82.085	4.4	4	1	1.081	flight.bmp	threat.bmp
86.511	4.4	3	1	1.037	bluff.bmp	tough.bmp
90.937	4.8	6	1	1.181	i.bmp	r.bmp
95.763	4.8	3	1	1.175	halt.bmp	fault.bmp
100.58999999999999	4.4	2	1	1.218	dull.bmp	bull.bmp
105.016	4.0	1	1	0.817	brow.bmp	cow.bmp
109.04100000000001	4.8	1	1	1.267	goat.bmp	float.bmp
113.867	4.0	1	1	1.688	glide.bmp	bride.bmp
117.89200000000001	4.0	5	1	1.518	blackcross.bmp	blackcross.bmp
121.91699999999999	4.0	5	1	1.262	blackcross.bmp	blackcross.bmp
125.942	4.0	5	1	1.239	blackcross.bmp	blackcross.bmp
129.96699999999998	4.8	2	1	1.124	plead.bmp	spread.bmp
134.79399999999998	4.4	6	1	1.047	t.bmp	u.bmp
139.219	4.8	3	1	1.479	roast.bmp	ghost.bmp
144.046	4.0	6	1	1.008	y.bmp	z.bmp
148.07100000000003	4.8	5	1	1.249	blackcross.bmp	blackcross.bmp
152.897	4.8	3	1	1.884	odd.bmp	rod.bmp
157.724	4.4	1	1	0.762	spoon.bmp	noon.bmp
162.14999999999998	4.8	5	1	1.446	blackcross.bmp	blackcross.bmp
166.976	4.8	5	1	1.263	blackcross.bmp	blackcross.bmp
171.803	4.8	5	1	1.328	blackcross.bmp	blackcross.bmp
176.62900000000002	4.0	5	1	0.66	blackcross.bmp	blackcross.bmp
180.654	4.8	5	1	1.344	blackcross.bmp	blackcross.bmp
185.481	4.0	2	1	1.205	breath.bmp	wreath.bmp
189.50599999999997	4.4	1	1	1.076	neat.bmp	wheat.bmp
193.93200000000002	4.0	2	1	1.241	mouth.bmp	youth.bmp
197.957	4.8	1	1	1.248	toss.bmp	moss.bmp
202.78300000000002	4.8	5	1	1.192	blackcross.bmp	blackcross.bmp
207.61	4.4	6	1	0.887	g.bmp	h.bmp
212.03500000000003	4.8	4	1	1.101	rule.bmp	blur.bmp
216.86200000000002	4.0	2	1	1.256	tomb.bmp	comb.bmp
220.887	4.8	6	1	1.242	r.bmp	s.bmp
225.714	4.0	4	1	1.125	june.bmp	loop.bmp
229.738	4.4	3	1	1.555	warm.bmp	form.bmp
234.164	4.4	4	1	1.539	rum.bmp	touch.bmp
238.59000000000003	4.0	2	1	1.257	gross.bmp	moss.bmp
242.615	4.0	4	1	1.562	glow.bmp	stove.bmp
246.64	4.8	5	1	1.212	blackcross.bmp	blackcross.bmp
251.466	4.8	4	1	1.027	wheel.bmp	sneak.bmp
256.293	4.0	5	1	1.379	blackcross.bmp	blackcross.bmp
260.31800000000004	4.4	2	1	1.154	cow.bmp	glow.bmp
264.744	4.4	1	1	1.279	pile.bmp	mile.bmp
269.16900000000004	4.8	3	1	1.191	cheek.bmp	sneak.bmp
273.99600000000004	4.4	4	1	1.419	youth.bmp	hint.bmp
278.422	4.4	5	1	1.485	blackcross.bmp	blackcross.bmp
282.848	4.0	3	1	0.922	thief.bmp	beef.bmp
286.872	4.4	5	1	1.816	blackcross.bmp	blackcross.bmp
291.298	4.8	2	1	1.441	swarm.bmp	harm.bmp
296.125	4.0	6	1	1.228	l.bmp	d.bmp
300.15000000000003	4.4	2	1	1.571	both.bmp	cloth.bmp
304.575	4.4	5	1	1.211	blackcross.bmp	blackcross.bmp
309.00100000000003	4.8	4	1	1.477	cream.bmp	swarm.bmp
313.82800000000003	4.4	2	1	1.057	ford.bmp	word.bmp
318.254	4.4	1	1	1.265	vase.bmp	chase.bmp
322.67900000000003	4.0	6	1	1.926	f.bmp	n.bmp
326.704	4.8	1	1	1.048	flood.bmp	blood.bmp
331.531	4.0	3	1	1.251	quart.bmp	port.bmp
335.55600000000004	4.4	5	1	1.442	blackcross.bmp	blackcross.bmp
339.981	4.0	2	1	0.999	swap.bmp	gap.bmp
344.00600000000003	4.0	1	1	1.204	frost.bmp	cost.bmp
348.031	4.8	5	1	1.293	blackcross.bmp	blackcross.bmp
352.858	4.4	5	1	1.121	blackcross.bmp	blackcross.bmp
357.284	4.8	1	1	1.056	harm.bmp	farm.bmp
362.11	4.8	2	1	0.945	scratch.bmp	watch.bmp
366.937	5.2	5	0	n/a	blackcross.bmp	blackcross.bmp
