onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	0	0.479	snerge.wav	gerge.bmp
4.015999999999998	4.4	4	0	n/a	palve.wav	smove.bmp
8.433999999999997	4.4	6	1	1.115	y.wav	z.bmp
12.851999999999997	4.8	4	0	1.211	blease.wav	seaf.bmp
17.671999999999997	4.0	4	0	2.277	plange.wav	jase.bmp
21.687999999999995	4.0	5	1	2.073	blackcross.wav	blackcross.bmp
25.705	4.0	5	1	1.878	blackcross.wav	blackcross.bmp
29.720999999999997	4.4	5	1	1.886	blackcross.wav	blackcross.bmp
34.139	4.0	1	1	0.88	plipt.wav	bipt.bmp
38.154999999999994	4.4	5	1	2.498	blackcross.wav	blackcross.bmp
42.573	4.8	1	0	0.739	twirt.wav	stirt.bmp
47.392999999999994	4.8	4	0	0.922	smow.wav	vomb.bmp
52.213	4.8	2	1	0.726	twarf.wav	starf.bmp
57.032999999999994	4.0	3	1	0.954	chelm.wav	swealm.bmp
61.049	4.0	1	0	1.673	sterb.wav	cherb.bmp
65.065	4.4	1	0	1.763	pritz.wav	vitz.bmp
69.483	4.4	2	0	0.742	twear.wav	zear.bmp
73.90100000000001	4.0	2	0	0.819	zow.wav	shrow.bmp
77.918	4.0	2	0	0.844	vose.wav	plose.bmp
81.934	4.8	5	1	1.735	blackcross.wav	blackcross.bmp
86.75399999999999	4.0	5	1	2.009	blackcross.wav	blackcross.bmp
90.77000000000001	4.4	3	0	2.165	durf.wav	merf.bmp
95.18799999999999	4.4	5	1	2.407	blackcross.wav	blackcross.bmp
99.606	4.8	5	1	1.866	blackcross.wav	blackcross.bmp
104.42599999999999	4.8	6	0	0.753	w.wav	e.bmp
109.24599999999998	4.4	3	1	1.228	shrune.wav	hoon.bmp
113.66399999999999	4.4	1	1	1.003	punge.wav	crunge.bmp
118.082	4.8	5	1	1.709	blackcross.wav	blackcross.bmp
122.90199999999999	4.4	5	1	1.976	blackcross.wav	blackcross.bmp
127.32	4.0	1	1	2.722	clurl.wav	turl.bmp
131.33599999999998	4.0	5	1	2.56	blackcross.wav	blackcross.bmp
135.35299999999998	4.0	2	0	1.218	plown.wav	rown.bmp
139.369	4.4	3	1	1.107	kreens.wav	speans.bmp
143.78699999999998	4.4	2	0	0.668	snull.wav	chull.bmp
148.20499999999998	4.0	6	1	1.229	t.wav	u.bmp
152.221	4.8	5	1	2.987	blackcross.wav	blackcross.bmp
157.041	4.8	5	1	1.918	blackcross.wav	blackcross.bmp
161.861	4.8	4	0	1.304	shwarp.wav	larm.bmp
166.67999999999998	4.0	4	0	0.594	vood.wav	shase.bmp
170.697	4.0	3	0	0.843	dite.wav	vight.bmp
174.713	4.8	1	1	0.061	sprune.wav	yune.bmp
179.533	4.8	2	0	1.829	twough.wav	drough.bmp
184.35299999999998	4.0	2	1	0.559	nearth.wav	fearth.bmp
188.369	4.4	2	0	0.684	creath.wav	steath.bmp
192.78699999999998	4.0	5	1	0.802	blackcross.wav	blackcross.bmp
196.804	4.4	1	0	0.523	yoat.wav	zoat.bmp
201.22199999999998	4.4	4	0	2.503	zarp.wav	twarm.bmp
205.64	4.0	6	1	1.411	e.wav	f.bmp
209.65599999999998	4.4	2	1	1.554	shrase.wav	flase.bmp
214.07399999999998	4.4	5	1	2.06	blackcross.wav	blackcross.bmp
218.492	4.8	6	0	0.883	a.wav	s.bmp
223.31199999999998	5.2	3	1	0.183	yeal.wav	sheel.bmp
228.533	4.8	5	1	1.714	blackcross.wav	blackcross.bmp
233.35299999999998	4.8	1	0	0.846	zite.wav	pite.bmp
238.17299999999997	4.4	1	1	0.478	flirk.wav	slirk.bmp
242.59099999999998	4.8	1	0	1.486	plapse.wav	dapse.bmp
247.41	4.8	4	0	0.987	vead.wav	slood.bmp
252.23	4.4	3	0	0.843	reash.wav	sliche.bmp
256.648	4.0	5	1	2.09	blackcross.wav	blackcross.bmp
260.66400000000004	4.8	6	1	1.432	a.wav	b.bmp
265.48400000000004	4.0	6	0	0.387	z.wav	g.bmp
269.5	4.4	6	0	0.62	f.wav	n.bmp
273.91900000000004	4.0	4	0	1.026	sharf.wav	twove.bmp
277.935	4.0	6	0	0.722	o.wav	p.bmp
281.951	4.4	4	0	0.846	pread.wav	slear.bmp
286.369	4.0	3	0	0.777	derb.wav	shurb.bmp
290.386	4.0	5	0	0.801	blackcross.wav	blackcross.bmp
294.40200000000004	4.8	5	1	2.037	blackcross.wav	blackcross.bmp
299.22200000000004	4.8	6	0	0.973	v.wav	m.bmp
304.04200000000003	4.0	6	0	0.482	c.wav	d.bmp
308.058	4.8	1	1	0.98	vuss.wav	duss.bmp
312.87800000000004	4.8	2	0	0.854	slange.wav	prange.bmp
317.697	4.8	3	1	0.89	rith.wav	nyth.bmp
322.517	4.0	5	0	1.386	blackcross.wav	blackcross.bmp
326.534	4.8	3	1	0.862	mide.wav	jied.bmp
331.353	4.0	3	0	0.944	poat.wav	wote.bmp
335.37	4.4	2	0	0.172	shwarm.wav	varm.bmp
339.788	4.8	3	1	0.059	plirk.wav	swerk.bmp
344.607	4.4	5	1	2.005	blackcross.wav	blackcross.bmp
349.02500000000003	4.0	3	1	2.697	britz.wav	swits.bmp
353.04200000000003	4.8	5	1	0.707	blackcross.wav	blackcross.bmp
357.86100000000005	4.4	4	0	1.771	neaf.wav	shrease.bmp
362.28000000000003	4.8	1	0	0.507	zurf.wav	hurf.bmp
367.09900000000005	4.4	3	1	0.371	mense.wav	shence.bmp
