onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	1.612	numb.wav	crumb.wav
4.007999999999981	4.4	2	1	3.048	stamp.wav	swamp.wav
8.417000000000002	4.4	3	1	2.172	fall.wav	crawl.wav
12.825999999999993	4.0	3	1	1.824	tense.wav	fence.wav
16.833	4.8	5	1	1.933	blackcross.wav	blackcross.wav
21.643	4.8	5	1	2.257	blackcross.wav	blackcross.wav
26.453000000000003	4.8	5	1	2.36	blackcross.wav	blackcross.wav
31.262	4.8	5	1	2.283	blackcross.wav	blackcross.wav
36.072	4.4	5	1	2.188	blackcross.wav	blackcross.wav
40.47999999999999	4.8	6	1	1.471	e.wav	f.wav
45.28999999999999	4.4	6	0	2.211	c.wav	u.wav
49.698999999999984	4.8	3	1	1.817	stroke.wav	soak.wav
54.50799999999998	4.8	5	1	1.932	blackcross.wav	blackcross.wav
59.317999999999984	4.0	2	0	2.901	cow.wav	glow.wav
63.33899999999997	4.4	6	1	1.824	o.wav	p.wav
67.761	4.8	6	1	1.927	t.wav	u.wav
72.57000000000002	4.4	3	1	1.788	odd.wav	rod.wav
76.97900000000001	4.4	3	1	2.127	halt.wav	fault.wav
81.388	4.0	4	0	2.038	june.wav	loop.wav
85.39599999999999	4.0	3	1	2.859	leap.wav	sweep.wav
89.40399999999997	4.8	5	1	2.281	blackcross.wav	blackcross.wav
94.213	4.0	4	0	2.355	smart.wav	drought.wav
98.22099999999998	4.4	1	1	2.326	flood.wav	blood.wav
102.62999999999997	4.4	5	1	2.286	blackcross.wav	blackcross.wav
107.03900000000002	4.0	1	0	n/a	bluff.wav	puff.wav
111.047	4.8	5	1	1.818	blackcross.wav	blackcross.wav
115.85599999999997	4.0	2	0	2.679	ford.wav	word.wav
119.864	4.0	5	1	1.876	blackcross.wav	blackcross.wav
123.92600000000002	4.0	6	1	2.282	y.wav	o.wav
127.93300000000002	4.4	4	0	2.108	wheel.wav	sneak.wav
132.342	4.0	3	1	1.731	rum.wav	numb.wav
136.35	4.8	4	0	1.537	ghost.wav	pose.wav
141.16	4.4	3	1	1.717	scheme.wav	cream.wav
145.568	4.8	1	0	2.874	frost.wav	cost.wav
150.37800000000001	4.8	3	1	2.137	thief.wav	beef.wav
155.18699999999998	4.4	4	1	1.716	fault.wav	note.wav
159.59599999999998	4.4	1	1	1.467	vase.wav	chase.wav
164.00499999999997	4.0	2	0	1.821	glove.wav	stove.wav
168.013	4.0	2	0	2.226	plead.wav	spread.wav
172.021	4.4	1	1	2.305	thread.wav	spread.wav
176.429	4.8	2	0	2.578	dull.wav	bull.wav
181.239	4.4	5	1	1.616	blackcross.wav	blackcross.wav
185.648	4.0	5	1	2.13	blackcross.wav	blackcross.wav
189.65599999999998	4.8	1	1	2.682	spoon.wav	noon.wav
194.465	4.4	5	1	1.929	blackcross.wav	blackcross.wav
198.874	4.8	5	1	1.7	blackcross.wav	blackcross.wav
203.68300000000002	4.4	6	1	2.143	c.wav	d.wav
208.092	4.4	1	1	2.801	brow.wav	cow.wav
212.501	4.0	1	1	2.55	quart.wav	wart.wav
216.509	4.0	3	1	1.518	float.wav	note.wav
220.51699999999997	4.4	5	1	2.152	blackcross.wav	blackcross.wav
224.92499999999998	4.4	2	0	2.324	swap.wav	gap.wav
229.374	4.8	6	1	1.273	g.wav	h.wav
234.184	4.8	2	0	2.38	mouth.wav	youth.wav
238.99299999999997	4.4	5	1	2.344	blackcross.wav	blackcross.wav
243.40200000000002	4.0	2	0	2.68	touch.wav	couch.wav
247.41	4.8	6	1	3.026	y.wav	z.wav
252.21899999999997	4.4	2	0	2.382	breath.wav	wreath.wav
256.62800000000004	4.0	4	0	2.078	dried.wav	stood.wav
260.63599999999997	4.8	2	0	2.048	pint.wav	hint.wav
265.446	4.0	2	0	n/a	gross.wav	moss.wav
269.467	4.0	6	1	1.802	i.wav	r.wav
273.475	4.0	4	1	2.136	ford.wav	rod.wav
277.48299999999995	4.8	3	1	1.98	cheek.wav	sneak.wav
282.29200000000003	4.4	5	1	1.876	blackcross.wav	blackcross.wav
286.701	4.4	5	1	1.455	blackcross.wav	blackcross.wav
291.11	4.8	5	1	1.758	blackcross.wav	blackcross.wav
295.919	4.8	6	1	1.19	f.wav	n.wav
300.72900000000004	4.8	1	1	1.843	beef.wav	reef.wav
305.538	4.0	1	1	1.334	soak.wav	oak.wav
309.54600000000005	4.8	1	1	1.924	fought.wav	sought.wav
314.356	4.0	1	1	2.571	stool.wav	fool.wav
318.36400000000003	4.8	3	0	n/a	warm.wav	form.wav
323.173	4.8	2	0	2.178	wart.wav	smart.wav
328.01	4.0	6	0	2.506	v.wav	m.wav
332.01700000000005	4.8	3	1	2.311	bride.wav	dried.wav
336.827	4.8	1	1	2.223	toss.wav	moss.wav
341.63599999999997	4.4	2	0	1.942	stood.wav	flood.wav
346.0450000000001	4.8	4	0	1.395	pool.wav	tooth.wav
350.855	4.4	4	0	1.838	rum.wav	touch.wav
355.26300000000003	4.4	5	1	2.252	blackcross.wav	blackcross.wav
359.672	4.0	4	0	1.504	tough.wav	dull.wav
363.68000000000006	4.0	4	0	1.515	both.wav	stroke.wav
367.688	4.0	6	0	1.737	h.wav	p.wav
