onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	0.636	shove.wav	glove.bmp
4.0319999999999965	4.4	4	0	0.699	swap.wav	watch.bmp
8.451999999999998	4.4	6	0	0.581	l.wav	d.bmp
12.884999999999998	4.8	4	1	0.608	dried.wav	stood.bmp
17.718999999999994	4.0	4	1	0.839	grace.wav	fence.bmp
21.738	4.0	5	1	1.097	blackcross.wav	blackcross.bmp
25.756999999999998	4.0	5	1	1.413	blackcross.wav	blackcross.bmp
29.776000000000003	4.4	5	1	1.277	blackcross.wav	blackcross.bmp
34.208999999999996	4.0	1	0	0.647	strap.wav	gap.bmp
38.228	4.4	5	1	1.185	blackcross.wav	blackcross.bmp
42.648	4.8	1	1	0.778	thread.wav	spread.bmp
47.481	4.8	4	1	0.724	port.wav	warm.bmp
52.31499999999999	4.8	2	1	0.784	gross.wav	moss.bmp
57.135	4.0	3	1	0.643	wheel.wav	deal.bmp
61.154	4.0	1	0	0.725	bluff.wav	puff.bmp
65.173	4.4	1	1	0.699	numb.wav	crumb.bmp
69.59299999999999	4.4	2	1	0.775	mouth.wav	youth.bmp
74.02600000000001	4.0	2	1	0.762	threat.wav	wheat.bmp
78.04499999999999	4.0	2	1	0.643	dull.wav	bull.bmp
82.064	4.8	5	1	1.351	blackcross.wav	blackcross.bmp
86.88499999999999	4.0	5	1	1.304	blackcross.wav	blackcross.bmp
90.917	4.4	3	1	0.673	flight.wav	spite.bmp
95.33700000000002	4.4	5	1	1.349	blackcross.wav	blackcross.bmp
99.757	4.8	5	1	1.432	blackcross.wav	blackcross.bmp
104.577	4.8	6	1	0.691	a.wav	b.bmp
109.41	4.4	3	1	0.797	roast.wav	ghost.bmp
113.83000000000001	4.4	1	1	0.905	sweep.wav	creep.bmp
118.25	4.8	5	1	1.422	blackcross.wav	blackcross.bmp
123.07	4.4	5	1	1.272	blackcross.wav	blackcross.bmp
127.49000000000001	4.0	1	0	0.788	quart.wav	wart.bmp
131.50900000000001	4.0	5	1	1.372	blackcross.wav	blackcross.bmp
135.541	4.0	2	1	0.756	fought.wav	drought.bmp
139.561	4.4	3	1	0.648	june.wav	noon.bmp
144.007	4.4	2	1	0.814	touch.wav	couch.bmp
148.427	4.0	6	1	0.535	c.wav	d.bmp
152.446	4.8	5	1	1.216	blackcross.wav	blackcross.bmp
157.266	4.8	5	1	1.088	blackcross.wav	blackcross.bmp
162.086	4.8	4	1	0.644	thief.wav	plead.bmp
166.907	4.0	4	1	0.628	gross.wav	post.bmp
170.939	4.0	3	1	0.704	pile.wav	trial.bmp
174.958	4.8	1	0	0.634	flood.wav	blood.bmp
179.778	4.8	2	0	0.66	glove.wav	stove.bmp
184.612	4.0	2	1	0.804	both.wav	cloth.bmp
188.631	4.4	2	1	0.773	cow.wav	glow.bmp
193.05100000000002	4.0	5	1	1.323	blackcross.wav	blackcross.bmp
197.097	4.4	1	1	0.631	glide.wav	bride.bmp
201.516	4.4	4	1	0.628	smart.wav	drought.bmp
205.936	4.0	6	1	0.758	m.wav	n.bmp
209.969	4.4	2	1	0.725	smooth.wav	tooth.bmp
214.388	4.4	5	1	1.22	blackcross.wav	blackcross.bmp
218.80800000000002	4.8	6	1	0.603	g.wav	h.bmp
223.62800000000001	5.2	3	0	n/a	thief.wav	beef.bmp
228.84900000000002	4.8	5	1	1.209	blackcross.wav	blackcross.bmp
233.669	4.8	1	1	0.73	fought.wav	sought.bmp
238.50300000000001	4.4	1	0	0.771	neat.wav	wheat.bmp
242.94899999999998	4.8	1	1	0.585	harm.wav	farm.bmp
247.77	4.8	4	1	0.628	wheel.wav	sneak.bmp
252.59	4.4	3	1	0.656	tense.wav	fence.bmp
257.01	4.0	5	1	1.107	blackcross.wav	blackcross.bmp
261.029	4.8	6	1	0.588	e.wav	f.bmp
265.849	4.0	6	1	0.709	v.wav	m.bmp
269.868	4.4	6	1	0.714	o.wav	p.bmp
274.28799999999995	4.0	4	1	0.644	ford.wav	rod.bmp
278.30699999999996	4.0	6	1	0.591	w.wav	e.bmp
282.32599999999996	4.4	4	1	0.637	glow.wav	stove.bmp
286.746	4.0	3	1	0.753	bride.wav	dried.bmp
290.765	4.0	5	1	1.258	blackcross.wav	blackcross.bmp
294.784	4.8	5	1	1.476	blackcross.wav	blackcross.bmp
299.604	4.8	6	1	0.592	k.wav	t.bmp
304.424	4.0	6	1	0.635	i.wav	r.bmp
308.44399999999996	4.8	1	0	0.77	bull.wav	full.bmp
313.26399999999995	4.8	2	1	0.741	plead.wav	spread.bmp
318.097	4.8	3	1	0.616	cheek.wav	sneak.bmp
322.91799999999995	4.0	5	1	1.338	blackcross.wav	blackcross.bmp
326.93699999999995	4.8	3	1	0.614	leap.wav	sweep.bmp
331.77	4.0	3	1	0.541	soup.wav	loop.bmp
335.78999999999996	4.4	2	1	0.702	tomb.wav	comb.bmp
340.22299999999996	4.8	3	0	0.851	warm.wav	form.bmp
345.04299999999995	4.4	5	1	1.256	blackcross.wav	blackcross.bmp
349.46299999999997	4.0	3	1	0.647	scheme.wav	cream.bmp
353.48199999999997	4.8	5	1	1.214	blackcross.wav	blackcross.bmp
358.30199999999996	4.4	4	1	0.751	stamp.wav	tomb.bmp
362.722	4.8	1	1	0.762	scheme.wav	theme.bmp
367.542	4.4	3	1	0.675	quart.wav	port.bmp
