onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	2	1	1.766	slour.bmp	vour.bmp
4.007999999999999	4.0	5	1	1.668	blackcross.bmp	blackcross.bmp
8.017	4.0	6	1	1.093	a.bmp	s.bmp
12.025000000000002	4.0	3	0	1.133	reash.bmp	sliche.bmp
16.032999999999998	4.4	5	1	1.424	blackcross.bmp	blackcross.bmp
20.442000000000004	4.4	6	1	0.774	i.bmp	j.bmp
24.851000000000003	4.4	1	1	2.077	treens.bmp	smeens.bmp
29.26	4.4	1	1	1.096	vuss.bmp	duss.bmp
33.669	4.8	6	1	1.588	f.bmp	n.bmp
38.479	4.8	1	1	1.143	zurf.bmp	hurf.bmp
43.289	4.8	5	1	1.523	blackcross.bmp	blackcross.bmp
48.099000000000004	4.8	1	1	0.929	crelm.bmp	melm.bmp
52.909000000000006	4.0	2	0	1.048	clease.bmp	prease.bmp
56.918000000000006	4.0	1	1	0.877	twirt.bmp	stirt.bmp
60.926	4.4	3	1	0.688	slurl.bmp	dirl.bmp
65.33500000000001	4.4	4	1	0.79	blease.bmp	seaf.bmp
69.744	4.4	5	1	1.262	blackcross.bmp	blackcross.bmp
74.153	4.8	5	1	1.436	blackcross.bmp	blackcross.bmp
78.96300000000001	4.8	4	1	1.06	quarf.bmp	ralve.bmp
83.77300000000001	4.8	6	1	0.734	m.bmp	n.bmp
88.583	4.8	1	1	0.928	clurl.bmp	turl.bmp
93.393	4.8	6	1	0.675	r.bmp	s.bmp
98.20300000000002	4.0	5	1	1.362	blackcross.bmp	blackcross.bmp
102.212	4.0	3	0	1.106	brunge.bmp	skonge.bmp
106.22000000000001	4.0	4	1	1.3	strough.bmp	wouth.bmp
110.228	4.4	6	1	0.944	l.bmp	d.bmp
114.63700000000001	4.4	5	1	1.384	blackcross.bmp	blackcross.bmp
119.046	4.4	5	1	1.768	blackcross.bmp	blackcross.bmp
123.455	4.4	5	1	1.557	blackcross.bmp	blackcross.bmp
127.86400000000002	4.8	5	1	1.43	blackcross.bmp	blackcross.bmp
132.67399999999998	4.8	1	1	1.732	crense.bmp	nense.bmp
137.48399999999998	4.8	5	1	1.576	blackcross.bmp	blackcross.bmp
142.29399999999998	4.0	2	0	1.383	twough.bmp	drough.bmp
146.303	4.0	2	1	1.287	twarf.bmp	starf.bmp
150.31099999999998	4.0	5	1	1.381	blackcross.bmp	blackcross.bmp
154.319	4.0	2	0	0.907	meaf.bmp	teaf.bmp
158.328	4.0	6	1	0.592	t.bmp	u.bmp
162.33499999999998	4.4	5	1	1.484	blackcross.bmp	blackcross.bmp
166.744	4.4	5	1	1.379	blackcross.bmp	blackcross.bmp
171.154	4.4	5	1	1.639	blackcross.bmp	blackcross.bmp
175.563	4.4	5	1	1.6	blackcross.bmp	blackcross.bmp
179.97199999999998	4.4	5	1	1.407	blackcross.bmp	blackcross.bmp
184.381	4.8	4	1	1.336	vood.bmp	shase.bmp
189.191	4.8	3	1	0.933	glutch.bmp	nuch.bmp
194.00099999999998	4.8	4	1	1.056	plange.bmp	jase.bmp
198.81099999999998	4.8	5	1	1.439	blackcross.bmp	blackcross.bmp
203.62099999999998	4.0	6	1	0.958	c.bmp	u.bmp
207.629	4.4	2	0	1.131	slange.bmp	prange.bmp
212.03799999999998	4.0	1	1	1.225	vearn.bmp	glearn.bmp
216.047	4.0	2	0	1.032	zalve.bmp	walve.bmp
220.05499999999998	4.0	6	1	0.771	j.bmp	b.bmp
224.063	4.0	4	1	0.815	sharf.bmp	twove.bmp
228.08799999999997	4.0	3	1	0.841	chelm.bmp	swealm.bmp
232.096	4.0	5	1	1.073	blackcross.bmp	blackcross.bmp
236.10500000000002	4.0	5	1	1.183	blackcross.bmp	blackcross.bmp
240.113	4.4	2	1	0.845	plown.bmp	rown.bmp
244.522	4.4	5	1	0.497	blackcross.bmp	blackcross.bmp
248.93099999999998	4.4	5	1	1.222	blackcross.bmp	blackcross.bmp
253.33999999999997	4.4	2	1	0.845	glead.bmp	jead.bmp
257.74899999999997	4.4	3	0	0.82	shrune.bmp	hoon.bmp
262.158	4.4	3	1	1.368	pript.bmp	shrypt.bmp
266.568	4.4	6	1	0.912	g.bmp	h.bmp
270.977	4.4	4	1	1.083	splour.bmp	morth.bmp
275.38599999999997	4.4	5	1	1.542	blackcross.bmp	blackcross.bmp
279.795	4.4	4	0	n/a	learth.bmp	plost.bmp
284.204	4.8	4	1	1.2	neaf.bmp	shrease.bmp
289.014	4.8	4	1	1.195	scose.bmp	brost.bmp
293.824	4.8	1	1	1.18	plipt.bmp	bipt.bmp
298.634	4.8	6	1	0.719	o.bmp	p.bmp
303.444	4.8	5	1	1.56	blackcross.bmp	blackcross.bmp
308.25399999999996	4.8	4	1	0.736	spouth.bmp	zull.bmp
313.06399999999996	4.0	4	1	0.996	drose.bmp	crange.bmp
317.072	4.0	1	1	1.188	swault.bmp	lault.bmp
321.081	4.0	3	1	1.735	derb.bmp	shurb.bmp
325.089	4.0	3	1	0.87	nerge.bmp	yurge.bmp
329.097	4.4	3	1	1.268	yeal.bmp	sheel.bmp
333.506	4.4	4	1	0.806	glough.bmp	vown.bmp
337.91499999999996	4.4	1	1	1.138	twide.bmp	stide.bmp
342.324	4.4	6	1	0.865	c.bmp	d.bmp
346.733	4.8	1	1	0.979	preash.bmp	sleash.bmp
351.543	4.8	6	1	0.936	k.bmp	t.bmp
356.353	4.8	2	1	1.378	zow.bmp	shrow.bmp
361.163	4.8	4	1	1.365	vead.bmp	slood.bmp
365.973	4.8	5	1	1.19	blackcross.bmp	blackcross.bmp
