onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	1.224	shove.wav	glove.bmp
4.00800000000001	4.4	4	0	0.846	swap.wav	watch.bmp
8.417000000000002	4.4	6	0	0.749	l.wav	d.bmp
12.825000000000017	4.8	4	0	0.68	dried.wav	stood.bmp
17.63500000000002	4.0	4	1	1.406	grace.wav	fence.bmp
21.643	4.0	5	1	1.713	blackcross.wav	blackcross.bmp
25.650000000000006	4.0	5	1	1.816	blackcross.wav	blackcross.bmp
29.658000000000015	4.4	5	1	2.942	blackcross.wav	blackcross.bmp
34.06700000000001	4.0	1	1	1.55	strap.wav	gap.bmp
38.07499999999999	4.4	5	1	2.021	blackcross.wav	blackcross.bmp
42.48400000000004	4.8	1	0	n/a	thread.wav	spread.bmp
47.293000000000006	4.8	4	0	0.924	port.wav	warm.bmp
52.10200000000003	4.8	2	0	1.362	gross.wav	moss.bmp
56.912000000000035	4.0	3	0	1.089	wheel.wav	deal.bmp
60.920000000000016	4.0	1	0	n/a	bluff.wav	puff.bmp
64.928	4.4	1	0	n/a	numb.wav	crumb.bmp
69.33600000000001	4.4	2	0	0.872	mouth.wav	youth.bmp
73.745	4.0	2	0	0.925	threat.wav	wheat.bmp
77.75299999999999	4.0	2	0	1.213	dull.wav	bull.bmp
81.76100000000002	4.8	5	0	n/a	blackcross.wav	blackcross.bmp
86.57	4.0	5	1	2.02	blackcross.wav	blackcross.bmp
90.57800000000003	4.4	3	1	0.977	flight.wav	spite.bmp
94.98700000000002	4.4	5	1	2.064	blackcross.wav	blackcross.bmp
99.39499999999998	4.8	5	1	1.659	blackcross.wav	blackcross.bmp
104.20499999999998	4.8	6	1	1.02	a.wav	b.bmp
109.01400000000001	4.4	3	1	1.62	roast.wav	ghost.bmp
113.423	4.4	1	1	0.873	sweep.wav	creep.bmp
117.832	4.8	5	1	1.89	blackcross.wav	blackcross.bmp
122.64100000000002	4.4	5	1	2.009	blackcross.wav	blackcross.bmp
127.05000000000001	4.0	1	1	1.291	quart.wav	wart.bmp
131.058	4.0	5	1	2.58	blackcross.wav	blackcross.bmp
135.065	4.0	2	0	1.22	fought.wav	drought.bmp
139.07300000000004	4.4	3	1	0.937	june.wav	noon.bmp
143.48200000000003	4.4	2	0	1.278	touch.wav	couch.bmp
147.89100000000002	4.0	6	1	2.014	c.wav	d.bmp
151.89800000000002	4.8	5	1	2.809	blackcross.wav	blackcross.bmp
156.70800000000003	4.8	5	0	n/a	blackcross.wav	blackcross.bmp
161.517	4.8	4	0	0.66	thief.wav	plead.bmp
166.327	4.0	4	0	1.619	gross.wav	post.bmp
170.33500000000004	4.0	3	1	1.342	pile.wav	trial.bmp
174.34300000000002	4.8	1	1	1.146	flood.wav	blood.bmp
179.152	4.8	2	0	1.308	glove.wav	stove.bmp
183.961	4.0	2	0	n/a	both.wav	cloth.bmp
187.969	4.4	2	1	0.968	cow.wav	glow.bmp
192.378	4.0	5	1	2.172	blackcross.wav	blackcross.bmp
196.38600000000002	4.4	1	0	n/a	glide.wav	bride.bmp
200.79399999999998	4.4	4	0	0.442	smart.wav	drought.bmp
205.20300000000003	4.0	6	0	n/a	m.wav	n.bmp
209.211	4.4	2	0	1.117	smooth.wav	tooth.bmp
213.62	4.4	5	1	2.951	blackcross.wav	blackcross.bmp
218.02800000000002	4.8	6	1	0.051	g.wav	h.bmp
222.83800000000002	5.2	3	1	0.797	thief.wav	beef.bmp
228.048	4.8	5	1	2.338	blackcross.wav	blackcross.bmp
232.85700000000003	4.8	1	0	2.913	fought.wav	sought.bmp
237.66700000000003	4.4	1	1	0.893	neat.wav	wheat.bmp
242.07600000000002	4.8	1	0	1.35	harm.wav	farm.bmp
246.885	4.8	4	1	1.254	wheel.wav	sneak.bmp
251.69400000000002	4.4	3	1	0.789	tense.wav	fence.bmp
256.103	4.0	5	1	2.487	blackcross.wav	blackcross.bmp
260.111	4.8	6	1	1.565	e.wav	f.bmp
264.92	4.0	6	0	0.721	v.wav	m.bmp
268.928	4.4	6	1	0.761	o.wav	p.bmp
273.337	4.0	4	0	1.675	ford.wav	rod.bmp
277.345	4.0	6	0	2.166	w.wav	e.bmp
281.353	4.4	4	0	1.291	glow.wav	stove.bmp
285.761	4.0	3	1	0.868	bride.wav	dried.bmp
289.76900000000006	4.0	5	1	2.127	blackcross.wav	blackcross.bmp
293.777	4.8	5	1	1.794	blackcross.wav	blackcross.bmp
298.58700000000005	4.8	6	0	0.823	k.wav	t.bmp
303.396	4.0	6	0	1.028	i.wav	r.bmp
307.40400000000005	4.8	1	0	n/a	bull.wav	full.bmp
312.213	4.8	2	1	2.723	plead.wav	spread.bmp
317.02299999999997	4.8	3	0	1.497	cheek.wav	sneak.bmp
321.83200000000005	4.0	5	1	2.811	blackcross.wav	blackcross.bmp
325.84	4.8	3	1	1.431	leap.wav	sweep.bmp
330.65000000000003	4.0	3	1	1.938	soup.wav	loop.bmp
334.657	4.4	2	0	n/a	tomb.wav	comb.bmp
339.066	4.8	3	0	n/a	warm.wav	form.bmp
343.87600000000003	4.4	5	1	1.683	blackcross.wav	blackcross.bmp
348.28400000000005	4.0	3	1	1.004	scheme.wav	cream.bmp
352.292	4.8	5	1	2.41	blackcross.wav	blackcross.bmp
357.10100000000006	4.4	4	0	1.139	stamp.wav	tomb.bmp
361.51000000000005	4.8	1	1	0.441	scheme.wav	theme.bmp
366.32	4.4	3	1	1.494	quart.wav	port.bmp
