onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	0	n/a	flirk.wav	slirk.wav
4.008000000000003	4.4	2	0	2.23	creath.wav	steath.wav
8.417000000000002	4.4	3	1	2.986	glutch.wav	nuch.wav
12.824999999999996	4.0	3	0	n/a	poat.wav	wote.wav
16.833000000000006	4.8	5	1	2.052	blackcross.wav	blackcross.wav
21.643000000000008	4.8	5	1	1.932	blackcross.wav	blackcross.wav
26.452000000000005	4.8	5	1	2.551	blackcross.wav	blackcross.wav
31.262000000000008	4.8	5	1	2.345	blackcross.wav	blackcross.wav
36.071000000000005	4.4	5	0	n/a	blackcross.wav	blackcross.wav
40.48	4.8	6	1	1.734	t.wav	u.wav
45.29	4.4	6	1	0.531	c.wav	d.wav
49.699000000000005	4.8	3	0	n/a	splirt.wav	furt.wav
54.508	4.8	5	1	2.024	blackcross.wav	blackcross.wav
59.318000000000005	4.0	2	0	n/a	crove.wav	swove.wav
63.326	4.4	6	1	2.175	v.wav	w.wav
67.73400000000001	4.8	6	0	n/a	k.wav	t.wav
72.54400000000001	4.4	3	0	1.388	brunge.wav	skonge.wav
76.953	4.4	3	1	2.007	twapse.wav	praps.wav
81.36099999999999	4.0	4	0	1.292	drose.wav	crange.wav
85.369	4.0	3	0	n/a	mense.wav	shence.wav
89.37700000000001	4.8	5	1	1.994	blackcross.wav	blackcross.wav
94.18699999999998	4.0	4	0	n/a	blease.wav	seaf.wav
98.195	4.4	1	1	1.261	twide.wav	stide.wav
102.60300000000001	4.4	5	1	1.546	blackcross.wav	blackcross.wav
107.012	4.0	1	1	2.037	pritz.wav	vitz.wav
111.01999999999998	4.8	5	1	1.866	blackcross.wav	blackcross.wav
115.82999999999998	4.0	2	0	1.36	spomb.wav	clomb.wav
119.838	4.0	5	1	1.793	blackcross.wav	blackcross.wav
123.846	4.0	6	1	0.779	a.wav	b.wav
127.85300000000001	4.4	4	1	1.337	smow.wav	vomb.wav
132.262	4.0	3	1	1.654	yeal.wav	sheel.wav
136.26999999999998	4.8	4	1	3.591	vead.wav	slood.wav
141.07999999999998	4.4	3	1	1.607	rith.wav	nyth.wav
145.488	4.8	1	1	2.703	crelm.wav	melm.wav
150.298	4.8	3	1	3.199	kreens.wav	speans.wav
155.108	4.4	4	0	n/a	palve.wav	smove.wav
159.516	4.4	1	0	n/a	sprune.wav	yune.wav
163.92499999999998	4.0	2	0	n/a	sworth.wav	horth.wav
167.933	4.0	2	0	n/a	slange.wav	prange.wav
171.941	4.4	1	1	1.416	vearn.wav	glearn.wav
176.35	4.8	2	0	n/a	zalve.wav	walve.wav
181.159	4.4	5	1	1.901	blackcross.wav	blackcross.wav
185.56799999999998	4.0	5	1	1.734	blackcross.wav	blackcross.wav
189.576	4.8	1	0	n/a	sterb.wav	cherb.wav
194.385	4.4	5	0	n/a	blackcross.wav	blackcross.wav
198.79399999999998	4.8	5	1	1.825	blackcross.wav	blackcross.wav
203.60399999999998	4.4	6	0	1.638	l.wav	d.wav
208.012	4.4	1	0	n/a	yoat.wav	zoat.wav
212.421	4.0	1	0	n/a	zite.wav	pite.wav
216.42899999999997	4.0	3	1	1.349	dite.wav	vight.wav
220.437	4.4	5	1	1.951	blackcross.wav	blackcross.wav
224.846	4.4	2	0	n/a	clease.wav	prease.wav
229.255	4.8	6	1	2.237	m.wav	n.wav
234.06400000000002	4.8	2	0	n/a	vose.wav	plose.wav
238.87400000000002	4.4	5	1	1.946	blackcross.wav	blackcross.wav
243.28199999999998	4.0	2	0	n/a	zow.wav	shrow.wav
247.29000000000002	4.8	6	0	1.715	y.wav	o.wav
252.10000000000002	4.4	2	0	n/a	slour.wav	vour.wav
256.509	4.0	4	0	n/a	splour.wav	morth.wav
260.517	4.8	2	0	n/a	frood.wav	plood.wav
265.326	4.0	2	0	n/a	twarf.wav	starf.wav
269.334	4.0	6	1	1.34	r.wav	s.wav
273.342	4.0	4	1	1.805	glough.wav	vown.wav
277.35	4.8	3	0	3.284	shrune.wav	hoon.wav
282.159	4.4	5	1	1.869	blackcross.wav	blackcross.wav
286.568	4.4	5	1	1.992	blackcross.wav	blackcross.wav
290.977	4.8	5	1	1.708	blackcross.wav	blackcross.wav
295.786	4.8	6	0	n/a	a.wav	s.wav
300.596	4.8	1	0	n/a	twirt.wav	stirt.wav
305.406	4.0	1	0	n/a	plipt.wav	bipt.wav
309.413	4.8	1	0	n/a	brith.wav	spith.wav
314.223	4.0	1	1	1.519	zurf.wav	hurf.wav
318.231	4.8	3	0	n/a	britz.wav	swits.wav
323.04	4.8	2	0	1.183	nouth.wav	scouth.wav
327.85	4.0	6	0	0.686	w.wav	e.wav
331.858	4.8	3	1	0.974	plirk.wav	swerk.wav
336.668	4.8	1	0	n/a	snerge.wav	gerge.wav
341.477	4.4	2	0	n/a	meaf.wav	teaf.wav
345.88599999999997	4.8	4	0	n/a	learth.wav	plost.wav
350.695	4.4	4	0	n/a	pread.wav	slear.wav
355.104	4.4	5	1	1.805	blackcross.wav	blackcross.wav
359.513	4.0	4	1	1.554	quarf.wav	ralve.wav
363.521	4.0	4	1	1.661	shwarp.wav	larm.wav
367.529	4.0	6	1	1.698	o.wav	p.wav
