onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	1.658	numb.wav	crumb.wav
4.00800000000001	4.4	2	0	2.878	stamp.wav	swamp.wav
8.417000000000002	4.4	3	1	1.809	fall.wav	crawl.wav
12.826000000000022	4.0	3	1	1.868	tense.wav	fence.wav
16.834000000000003	4.8	5	1	1.622	blackcross.wav	blackcross.wav
21.643	4.8	5	1	1.713	blackcross.wav	blackcross.wav
26.453000000000003	4.8	5	1	2.092	blackcross.wav	blackcross.wav
31.262	4.8	5	1	2.154	blackcross.wav	blackcross.wav
36.072	4.4	5	1	1.929	blackcross.wav	blackcross.wav
40.48100000000002	4.8	6	1	1.529	e.wav	f.wav
45.29000000000002	4.4	6	1	2.021	c.wav	u.wav
49.69900000000001	4.8	3	1	1.52	stroke.wav	soak.wav
54.50800000000001	4.8	5	1	2.294	blackcross.wav	blackcross.wav
59.31800000000001	4.0	2	1	2.932	cow.wav	glow.wav
63.32600000000002	4.4	6	1	1.727	o.wav	p.wav
67.73500000000001	4.8	6	1	1.474	t.wav	u.wav
72.54400000000001	4.4	3	1	2.722	odd.wav	rod.wav
76.953	4.4	3	0	2.854	halt.wav	fault.wav
81.36200000000002	4.0	4	0	n/a	june.wav	loop.wav
85.37	4.0	3	1	1.396	leap.wav	sweep.wav
89.37800000000001	4.8	5	0	n/a	blackcross.wav	blackcross.wav
94.18700000000001	4.0	4	1	2.824	smart.wav	drought.wav
98.19500000000002	4.4	1	0	n/a	flood.wav	blood.wav
102.60400000000001	4.4	5	1	2.629	blackcross.wav	blackcross.wav
107.012	4.0	1	0	n/a	bluff.wav	puff.wav
111.02000000000004	4.8	5	0	n/a	blackcross.wav	blackcross.wav
115.83000000000004	4.0	2	1	2.448	ford.wav	word.wav
119.83800000000002	4.0	5	1	2.789	blackcross.wav	blackcross.wav
123.846	4.0	6	0	2.023	y.wav	o.wav
127.85400000000004	4.4	4	1	3.082	wheel.wav	sneak.wav
132.26300000000003	4.0	3	0	n/a	rum.wav	numb.wav
136.27000000000004	4.8	4	1	3.567	ghost.wav	pose.wav
141.08000000000004	4.4	3	0	n/a	scheme.wav	cream.wav
145.48900000000003	4.8	1	1	2.28	frost.wav	cost.wav
150.298	4.8	3	0	n/a	thief.wav	beef.wav
155.108	4.4	4	1	3.182	fault.wav	note.wav
159.517	4.4	1	1	1.659	vase.wav	chase.wav
163.925	4.0	2	0	2.158	glove.wav	stove.wav
167.933	4.0	2	0	n/a	plead.wav	spread.wav
171.94100000000003	4.4	1	1	3.211	thread.wav	spread.wav
176.35000000000002	4.8	2	0	2.307	dull.wav	bull.wav
181.16000000000003	4.4	5	0	n/a	blackcross.wav	blackcross.wav
185.56800000000004	4.0	5	0	n/a	blackcross.wav	blackcross.wav
189.57600000000002	4.8	1	0	n/a	spoon.wav	noon.wav
194.38600000000002	4.4	5	1	3.16	blackcross.wav	blackcross.wav
198.79400000000004	4.8	5	1	2.52	blackcross.wav	blackcross.wav
203.60400000000004	4.4	6	1	2.465	c.wav	d.wav
208.01300000000003	4.4	1	0	n/a	brow.wav	cow.wav
212.421	4.0	1	0	n/a	quart.wav	wart.wav
216.42900000000003	4.0	3	1	1.434	float.wav	note.wav
220.437	4.4	5	1	1.902	blackcross.wav	blackcross.wav
224.846	4.4	2	1	3.107	swap.wav	gap.wav
229.255	4.8	6	0	n/a	g.wav	h.wav
234.06400000000002	4.8	2	1	2.902	mouth.wav	youth.wav
238.87400000000002	4.4	5	1	1.859	blackcross.wav	blackcross.wav
243.28300000000002	4.0	2	1	2.64	touch.wav	couch.wav
247.291	4.8	6	0	n/a	y.wav	z.wav
252.10000000000002	4.4	2	0	n/a	breath.wav	wreath.wav
256.509	4.0	4	0	n/a	dried.wav	stood.wav
260.517	4.8	2	1	3.653	pint.wav	hint.wav
265.326	4.0	2	1	2.849	gross.wav	moss.wav
269.334	4.0	6	0	n/a	i.wav	r.wav
273.34200000000004	4.0	4	0	n/a	ford.wav	rod.wav
277.35	4.8	3	1	1.589	cheek.wav	sneak.wav
282.16	4.4	5	1	2.601	blackcross.wav	blackcross.wav
286.569	4.4	5	1	2.598	blackcross.wav	blackcross.wav
290.97700000000003	4.8	5	1	2.157	blackcross.wav	blackcross.wav
295.78700000000003	4.8	6	1	3.361	f.wav	n.wav
300.596	4.8	1	0	n/a	beef.wav	reef.wav
305.406	4.0	1	0	n/a	soak.wav	oak.wav
309.414	4.8	1	1	1.859	fought.wav	sought.wav
314.223	4.0	1	0	2.534	stool.wav	fool.wav
318.231	4.8	3	1	2.071	warm.wav	form.wav
323.041	4.8	2	0	n/a	wart.wav	smart.wav
327.85	4.0	6	1	1.523	v.wav	m.wav
331.858	4.8	3	1	2.021	bride.wav	dried.wav
336.668	4.8	1	0	n/a	toss.wav	moss.wav
341.47700000000003	4.4	2	0	2.697	stood.wav	flood.wav
345.886	4.8	4	1	1.799	pool.wav	tooth.wav
350.696	4.4	4	1	2.06	rum.wav	touch.wav
355.10400000000004	4.4	5	1	2.673	blackcross.wav	blackcross.wav
359.51300000000003	4.0	4	0	n/a	tough.wav	dull.wav
363.521	4.0	4	0	n/a	both.wav	stroke.wav
367.52900000000005	4.0	6	0	1.348	h.wav	p.wav
