onset	duration	trial_type	accuracy	response_time	A_stim	B_stim
0.0	4.0	1	1	2.437	snerge.wav	gerge.bmp
4.042000000000002	4.4	4	1	1.156	palve.wav	smove.bmp
8.484000000000009	4.4	6	1	1.03	y.wav	z.bmp
12.926999999999992	4.8	4	1	1.933	blease.wav	seaf.bmp
17.77000000000001	4.0	4	0	1.626	plange.wav	jase.bmp
21.794999999999987	4.0	5	1	1.761	blackcross.wav	blackcross.bmp
25.819999999999993	4.0	5	1	1.41	blackcross.wav	blackcross.bmp
29.845	4.4	5	1	1.432	blackcross.wav	blackcross.bmp
34.27099999999999	4.0	1	1	1.386	plipt.wav	bipt.bmp
38.29599999999999	4.4	5	1	1.789	blackcross.wav	blackcross.bmp
42.738	4.8	1	0	1.733	twirt.wav	stirt.bmp
47.565	4.8	4	1	1.144	smow.wav	vomb.bmp
52.39099999999999	4.8	2	0	0.928	twarf.wav	starf.bmp
57.234999999999985	4.0	3	0	1.697	chelm.wav	swealm.bmp
61.27600000000001	4.0	1	1	1.105	sterb.wav	cherb.bmp
65.31799999999998	4.4	1	1	1.316	pritz.wav	vitz.bmp
69.744	4.4	2	0	1.586	twear.wav	zear.bmp
74.16900000000001	4.0	2	1	1.926	zow.wav	shrow.bmp
78.19399999999999	4.0	2	1	1.37	vose.wav	plose.bmp
82.219	4.8	5	1	1.327	blackcross.wav	blackcross.bmp
87.04599999999999	4.0	5	1	1.906	blackcross.wav	blackcross.bmp
91.08699999999999	4.4	3	1	1.388	durf.wav	merf.bmp
95.513	4.4	5	1	1.891	blackcross.wav	blackcross.bmp
99.939	4.8	5	1	2.158	blackcross.wav	blackcross.bmp
104.78200000000001	4.8	6	1	1.709	w.wav	e.bmp
109.60900000000001	4.4	3	0	1.952	shrune.wav	hoon.bmp
114.035	4.4	1	1	1.202	punge.wav	crunge.bmp
118.46000000000001	4.8	5	1	1.583	blackcross.wav	blackcross.bmp
123.287	4.4	5	1	2.229	blackcross.wav	blackcross.bmp
127.72900000000001	4.0	1	1	0.967	clurl.wav	turl.bmp
131.754	4.0	5	1	2.585	blackcross.wav	blackcross.bmp
135.77900000000002	4.0	2	0	1.788	plown.wav	rown.bmp
139.804	4.4	3	1	1.23	kreens.wav	speans.bmp
144.23	4.4	2	1	1.104	snull.wav	chull.bmp
148.672	4.0	6	1	1.081	t.wav	u.bmp
152.69699999999997	4.8	5	1	1.471	blackcross.wav	blackcross.bmp
157.52399999999997	4.8	5	1	1.753	blackcross.wav	blackcross.bmp
162.367	4.8	4	1	1.559	shwarp.wav	larm.bmp
167.194	4.0	4	0	0.935	vood.wav	shase.bmp
171.23499999999999	4.0	3	1	1.05	dite.wav	vight.bmp
175.27700000000002	4.8	1	0	1.367	sprune.wav	yune.bmp
180.11999999999998	4.8	2	0	0.816	twough.wav	drough.bmp
184.94699999999997	4.0	2	0	1.088	nearth.wav	fearth.bmp
188.989	4.4	2	1	2.174	creath.wav	steath.bmp
193.41400000000002	4.0	5	1	1.732	blackcross.wav	blackcross.bmp
197.439	4.4	1	1	1.232	yoat.wav	zoat.bmp
201.86499999999998	4.4	4	1	2.24	zarp.wav	twarm.bmp
206.307	4.0	6	1	0.887	e.wav	f.bmp
210.34900000000002	4.4	2	1	1.54	shrase.wav	flase.bmp
214.775	4.4	5	1	1.739	blackcross.wav	blackcross.bmp
219.217	4.8	6	1	1.397	a.wav	s.bmp
224.044	5.2	3	0	n/a	yeal.wav	sheel.bmp
229.271	4.8	5	1	1.835	blackcross.wav	blackcross.bmp
234.11499999999998	4.8	1	1	0.669	zite.wav	pite.bmp
238.958	4.4	1	1	1.154	flirk.wav	slirk.bmp
243.384	4.8	1	0	0.864	plapse.wav	dapse.bmp
248.21	4.8	4	0	1.156	vead.wav	slood.bmp
253.037	4.4	3	1	1.038	reash.wav	sliche.bmp
257.46299999999997	4.0	5	1	1.796	blackcross.wav	blackcross.bmp
261.48799999999994	4.8	6	1	0.734	a.wav	b.bmp
266.31399999999996	4.0	6	1	1.845	z.wav	g.bmp
270.33899999999994	4.4	6	1	1.857	f.wav	n.bmp
274.765	4.0	4	1	1.318	sharf.wav	twove.bmp
278.80600000000004	4.0	6	1	0.983	o.wav	p.bmp
282.84799999999996	4.4	4	1	2.277	pread.wav	slear.bmp
287.274	4.0	3	1	1.465	derb.wav	shurb.bmp
291.299	4.0	5	1	1.842	blackcross.wav	blackcross.bmp
295.32399999999996	4.8	5	1	2.026	blackcross.wav	blackcross.bmp
300.15	4.8	6	1	1.494	v.wav	m.bmp
304.977	4.0	6	1	1.123	c.wav	d.bmp
309.00199999999995	4.8	1	1	1.802	vuss.wav	duss.bmp
313.828	4.8	2	0	1.382	slange.wav	prange.bmp
318.672	4.8	3	0	1.323	rith.wav	nyth.bmp
323.49800000000005	4.0	5	1	2.072	blackcross.wav	blackcross.bmp
327.523	4.8	3	1	1.759	mide.wav	jied.bmp
332.366	4.0	3	0	1.523	poat.wav	wote.bmp
336.408	4.4	2	0	0.95	shwarm.wav	varm.bmp
340.851	4.8	3	1	1.651	plirk.wav	swerk.bmp
345.677	4.4	5	1	2.017	blackcross.wav	blackcross.bmp
350.10299999999995	4.0	3	1	1.438	britz.wav	swits.bmp
354.12800000000004	4.8	5	1	1.61	blackcross.wav	blackcross.bmp
358.95399999999995	4.4	4	1	1.27	neaf.wav	shrease.bmp
363.38	4.8	1	0	1.002	zurf.wav	hurf.bmp
368.22299999999996	4.4	3	1	1.596	mense.wav	shence.bmp
